neighbourhood_group,neighbourhood
Bristol,Barrington
Bristol,Bristol
Bristol,Warren
Kent,Coventry
Kent,East Greenwich
Kent,Warwick
Kent,West Greenwich
Kent,West Warwick
Newport,Jamestown
Newport,Little Compton
Newport,Middletown
Newport,Newport
Newport,Portsmouth
Newport,Tiverton
Providence,Burrillville
Providence,Central Falls
Providence,Cranston
Providence,Cumberland
Providence,East Providence
Providence,Foster
Providence,Glocester
Providence,Johnston
Providence,Lincoln
Providence,North Providence
Providence,North Smithfield
Providence,Pawtucket
Providence,Providence
Providence,Scituate
Providence,Smithfield
Providence,Woonsocket
Washington,Charlestown
Washington,Exeter
Washington,Hopkinton
Washington,Narragansett
Washington,New Shoreham
Washington,North Kingstown
Washington,Richmond
Washington,South Kingstown
Washington,Westerly
